what	O
's	O
you	O
name	O
?	O

whats	O
your	O
name	O
?	O

whats	O
your	O
name	O

what	O
is	O
ur	O
name	O

wats	O
ur	O
name	O

<	O
/3	O

these	O
suck	O

thse	O
all	O
suck	O

These	O
all	O
suck	O

but	O
not	O
what	O
I	O
was	O
looking	O
for	O

that	O
sucks	O

I	O
'm	O
not	O
happy	O
with	O
these	O

That	O
's	O
stupid	O

no	O
thanks	O

I	O
hate	O
these	O

wtf	O

these	O
are	O
n't	O
good	O

These	O
suck	O
!	O

none	O
of	O
these	O
are	O
good	O

how	O
's	O
it	O
goin	O
?	O

Hi	O
Anna	O

Hi	O
Anna	O
!	O

Hello	O
Anna	O

sup	O

hey	O
anna	O

Hows	O
it	O
going	O
?	O

hello	O

How	O
are	O
you	O

Hi	O
,	O
Anna	O

HI	O

whats	O
up	O

Hey	O

hey	O
whats	O
up	O

Hi	O

Hello	O

how	O
r	O
u	O

can	O
i	O
show	O
you	O
a	O
picture	O
?	O

menu	O

help	O

Help	O

Help	O
me	O

help	O
me	O

help	O
!	O

I	O
need	O
help	O

I	O
do	O
n't	O
understand	O

how	O
old	O
r	O
u	O
?	O

how	O
old	O
are	O
you	O
?	O

how	O
old	O
are	O
you	O
anna	O
?	O

how	O
old	O
are	O
you	O

how	O
old	O
r	O
u	O

what	O
's	O
your	O
age	O

whats	O
your	O
age	O

asshole	O

bitch	O

cunt	O

Why	O
are	O
you	O
so	O
dumb	O
?	O

faggot	O

Dumb	O
broad	O

fag	O

you	O
suck	O

suck	O
my	O
dick	O

fuck	O
me	O

fuck	O
you	O

screw	O
you	O

i	O
like	O
the	O
first	O
one	O

I	O
'm	O
digging	O
the	O
thrid	O
one	O

I	O
like	O
the	O
first	O

I	O
like	O
number	O
three	O

I	O
like	O
number	O
two	O

Im	O
liking	O
the	O
first	O

I	O
like	O
the	O
1st	O

